Date,SP500,NASDAQ,DJIA
8/5/93,448.1300049,715.5,3548.969971
8/6/93,448.6799927,718.0800171,3560.429932
8/9/93,450.7200012,718.4899902,3576.080078
8/10/93,449.4500122,717.0800171,3572.72998
8/11/93,450.4599915,718.7700195,3583.350098
8/12/93,448.9599915,717.1199951,3569.090088
8/13/93,450.1400146,718.2600098,3569.649902
8/16/93,452.3800049,726.8900146,3579.149902
8/17/93,453.1300049,731.0100098,3586.97998
8/18/93,456.0400085,734.8300171,3604.860107
8/19/93,456.4299927,730.4799805,3612.129883
8/20/93,456.1600037,730.960022,3615.47998
8/23/93,455.230011,730.8599854,3605.97998
8/24/93,459.769989,735.1400146,3638.959961
8/25/93,460.1300049,733.6599731,3652.090088
8/26/93,461.0400085,731.3900146,3648.179932
8/27/93,460.5400085,734.0700073,3640.629883
8/30/93,461.8999939,737.3800049,3643.98999
8/31/93,463.5599976,742.8400269,3651.25
9/1/93,463.1499939,746.1500244,3645.100098
9/2/93,461.2999878,748.6500244,3626.100098
9/3/93,461.3399963,749.710022,3633.929932
9/7/93,458.519989,739.3499756,3607.100098
9/8/93,456.6499939,730.7299805,3588.929932
9/9/93,457.5,737.710022,3589.48999
9/10/93,461.7200012,744.3099976,3621.629883
9/13/93,462.0599976,740.3200073,3634.209961
9/14/93,459.8999939,732.6400146,3615.76001
9/15/93,461.6000061,739.5499878,3633.649902
9/16/93,459.4299927,739.7999878,3630.850098
9/17/93,458.8299866,740.1099854,3613.25
9/20/93,455.0499878,740.210022,3575.800049
9/21/93,452.9500122,733.5599976,3537.23999
9/22/93,456.2000122,745.539978,3547.02002
9/23/93,457.7399902,752.2600098,3539.75
9/24/93,457.6300049,754.6500244,3543.110107
9/27/93,461.7999878,759.9500122,3567.699951
9/28/93,461.5299988,763.6599731,3566.02002
9/29/93,460.1099854,763.1699829,3566.300049
9/30/93,458.9299927,762.7800293,3555.120117
10/1/93,461.2799988,763.2299805,3581.110107
10/4/93,461.3399963,764.8400269,3577.76001
10/5/93,461.2000122,762.2700195,3587.26001
10/6/93,460.7399902,764.7700195,3598.98999
10/7/93,459.1799927,762.4899902,3583.629883
10/8/93,460.3099976,764.2700195,3584.73999
10/11/93,460.8800049,767.6500244,3593.409912
10/12/93,461.1199951,772.460022,3593.129883
10/13/93,461.4899902,778.9699707,3603.189941
10/14/93,466.8299866,785.4099731,3621.629883
10/15/93,469.5,787.4199829,3629.72998
10/18/93,468.4500122,782.9099731,3642.310059
10/19/93,466.2099915,768.710022,3635.320068
10/20/93,466.0700073,768.25,3645.100098
10/21/93,465.3599854,771.2800293,3636.159912
10/22/93,463.269989,772.6799927,3649.300049
10/25/93,464.2000122,769.75,3673.610107
10/26/93,464.2999878,765.460022,3672.48999
10/27/93,464.6099854,771.8800049,3664.659912
10/28/93,467.730011,773.4899902,3687.860107
10/29/93,467.8299866,779.2600098,3680.590088
11/1/93,469.1000061,783.7700195,3692.610107
11/2/93,468.4400024,785.6599731,3697.639893
11/3/93,463.019989,772.9500122,3661.870117
11/4/93,457.4899902,757.2600098,3624.97998
11/5/93,459.5700073,762.9899902,3643.429932
11/8/93,460.2099915,766.210022,3647.899902
11/9/93,460.3299866,769.8400269,3640.070068
11/10/93,463.7200012,776.5,3663.550049
11/11/93,462.6400146,778.9799805,3662.429932
11/12/93,465.3900146,779.3200073,3684.5
11/15/93,463.75,772.4500122,3677.52002
11/16/93,466.7399902,771.6900024,3710.77002
11/17/93,464.8099976,762.3599854,3704.350098
11/18/93,463.6199951,754.3400269,3685.340088
11/19/93,462.6000061,751.5599976,3694.01001
11/22/93,459.1300049,738.1300049,3670.25
11/23/93,461.0299988,746.8200073,3674.169922
11/24/93,462.3599854,753.1799927,3687.580078
11/26/93,463.0599976,754.8699951,3683.949951
11/29/93,461.8999939,751.539978,3677.800049
11/30/93,461.7900085,754.3900146,3683.949951
12/1/93,461.8900146,763.8099976,3697.080078
12/2/93,463.1099854,766.7299805,3702.110107
12/3/93,464.8900146,772.2199707,3704.070068
12/6/93,466.4299927,771.0900269,3710.209961
12/7/93,466.7600098,769.3499756,3718.879883
12/8/93,466.2900085,767.8900146,3734.530029
12/9/93,464.1799927,761.4899902,3729.780029
12/10/93,463.9299927,760.7399902,3740.669922
12/13/93,465.7000122,759.7199707,3764.429932
12/14/93,463.0599976,751.4699707,3742.629883
12/15/93,461.8399963,752.9699707,3716.919922
12/16/93,463.3399963,755.5300293,3726.139893
12/17/93,466.3800049,759.2299805,3751.570068
12/20/93,465.8500061,760.1500244,3755.209961
12/21/93,465.2999878,755.6300049,3745.149902
12/22/93,467.3200073,756.0700073,3762.189941
12/23/93,467.3800049,758.7000122,3757.719971
12/27/93,470.5400085,761.0599976,3792.929932
12/28/93,470.9400024,764.5599976,3793.77002
12/29/93,470.5799866,768.4799805,3794.330078
12/30/93,468.6400146,771.0800171,3775.879883
12/31/93,466.4500122,776.7999878,3754.090088
1/3/94,465.4400024,770.7600098,3756.600098
1/4/94,466.8900146,774.2800293,3783.899902
1/5/94,467.5499878,778.0499878,3798.820068
1/6/94,467.1199951,780.4099731,3803.879883
1/7/94,469.8999939,782.9400024,3820.77002
1/10/94,475.269989,786.6900024,3865.51001
1/11/94,474.1300049,785.5200195,3850.310059
1/12/94,474.1700134,786.8699951,3848.629883
1/13/94,472.4700012,787.8099976,3842.429932
1/14/94,474.9100037,792.3099976,3867.199951
1/17/94,473.2999878,792.1799927,3870.290039
1/18/94,474.25,793.0200195,3870.290039
1/19/94,474.2999878,789.2800293,3884.370117
1/20/94,474.980011,793.0300293,3891.959961
1/21/94,474.7200012,794.2800293,3914.47998
1/24/94,471.9700012,790.6500244,3912.790039
1/25/94,470.9200134,786.3900146,3895.340088
1/26/94,473.2000122,788.7999878,3908
1/27/94,477.0499878,792.8800049,3926.300049
1/28/94,478.7000122,796.5300293,3945.429932
1/31/94,481.6099854,800.4699707,3978.360107
2/1/94,479.6199951,797.2399902,3964.01001
2/2/94,482,799.5700073,3975.540039
2/3/94,480.7099915,797.789978,3967.659912
2/4/94,469.8099976,777.2800293,3871.419922
2/7/94,471.7600098,779.2000122,3906.320068
2/8/94,471.0499878,782.7000122,3906.030029
2/9/94,472.769989,786.5300293,3931.919922
2/10/94,468.9299927,783.4199829,3895.340088
2/11/94,470.1799927,781.3900146,3894.780029
2/14/94,470.230011,785.4500122,3904.060059
2/15/94,472.519989,790.1199951,3928.27002
2/16/94,472.7900085,792.6199951,3937.27002
2/17/94,470.3399963,790.2399902,3922.639893
2/18/94,467.6900024,788.8499756,3887.459961
2/22/94,471.4599915,791.1500244,3911.659912
2/23/94,470.6900024,789.1099854,3891.679932
2/24/94,464.2600098,779.4400024,3839.899902
2/25/94,466.0700073,783.7800293,3838.780029
2/28/94,467.1400146,792.5,3832.02002
3/1/94,464.4400024,788.6400146,3809.22998
3/2/94,464.8099976,783.4699707,3831.73999
3/3/94,463.0100098,784.5800171,3824.419922
3/4/94,464.7399902,790.5499878,3832.300049
3/7/94,466.9100037,795.0499878,3856.219971
3/8/94,465.8800049,792.1199951,3851.719971
3/9/94,467.0599976,793.0499878,3853.409912
3/10/94,463.8999939,789.0900269,3830.620117
3/11/94,466.4400024,789.2000122,3862.699951
3/14/94,467.3900146,792.7999878,3862.97998
3/15/94,467.0100098,793.5200195,3849.590088
3/16/94,469.4200134,798.9899902,3848.149902
3/17/94,470.8999939,803.8499756,3865.139893
3/18/94,471.0599976,803.9299927,3895.649902
3/21/94,468.5400085,797.2999878,3864.850098
3/22/94,468.7999878,796.3400269,3862.550049
3/23/94,468.5400085,797.5100098,3869.459961
3/24/94,464.3500061,786.6799927,3821.090088
3/25/94,460.5799866,783.4500122,3774.72998
3/28/94,460,772.5,3762.350098
3/29/94,452.480011,755.289978,3699.02002
3/30/94,445.5499878,744.9099731,3626.75
3/31/94,445.769989,743.460022,3635.959961
4/4/94,438.9200134,727.4099731,3593.350098
4/5/94,448.2900085,750.9500122,3675.409912
4/6/94,448.0499878,750.7199707,3679.72998
4/7/94,450.8800049,755.1699829,3693.26001
4/8/94,447.1000061,748.710022,3674.26001
4/11/94,449.8699951,748.1099854,3688.830078
4/12/94,447.5700073,739.2199707,3681.689941
4/13/94,446.2600098,727.3800049,3661.469971
4/14/94,446.3800049,727.3099976,3663.25
4/15/94,446.1799927,727.9699707,3661.469971
4/18/94,442.4599915,720.4500122,3620.419922
4/19/94,442.5400085,712.8499756,3619.820068
4/20/94,441.9599915,705.5200195,3598.709961
4/21/94,448.730011,718.7399902,3652.540039
4/22/94,447.6300049,722.5599976,3648.679932
4/25/94,452.7099915,730.7999878,3705.780029
4/26/94,451.8699951,734.210022,3699.540039
4/28/94,449.1000061,731.6900024,3668.310059
4/29/94,450.9100037,733.8400269,3681.689941
5/2/94,453.019989,740.6799927,3701.02002
5/3/94,453.0299988,739.3699951,3714.409912
5/4/94,451.7200012,740.2999878,3697.75
5/5/94,451.3800049,740.5499878,3695.969971
